name,title,cites,year,lastUpdated
Murray Woodside,The stochastic rendezvous network model for performance of synchronous client-server-like distributed software,385,1995,2020-10-15
Shikharesh Majumdar,The stochastic rendezvous network model for performance of synchronous client-server-like distributed software,385,1995,2020-10-15
Yvan Labiche,A UML-based approach to system testing,382,2002,2020-10-15
Adrian D. C. Chan,Continuous myoelectric control for powered prostheses using hidden Markov models,370,2004,2020-10-15
F. Richard Yu,Energy-efficient resource allocation for heterogeneous cognitive radio networks with femtocells,367,2012,2020-10-15
F. Richard Yu,"In-band full-duplex relaying: A survey, research issues and challenges",367,2015,2020-10-15
F. Richard Yu,A distributed consensus-based cooperative spectrum-sensing scheme in cognitive radios,365,2009,2020-10-15
Halim Yanikomeroglu,Enhancing cell-edge performance: a downlink dynamic interference avoidance scheme with inter-cell coordination,348,2010,2020-10-15
John Chinneck,Linear programming with interval coefficients,347,2000,2020-10-15
Yvan Labiche,Towards the Reverse Engineering of UML Sequence Diagrams.,344,2003,2020-10-15
Ioannis Lambadaris,An overview of pricing concepts for broadband IP networks,333,2000,2020-10-15
Rafik Goubran,Robust voice activity detection using higher-order statistics in the LPC residual domain,331,2001,2020-10-15
F. Richard Yu,Mobility-based predictive call admission control and bandwidth reservation in wireless cellular networks,331,2001,2020-10-15
John Chinneck,Practical optimization: a gentle introduction,331,2006,2020-10-15
Peter X. Liu,Identification methods for Hammerstein nonlinear systems,323,2011,2020-10-15
Peter X. Liu,Iterative solutions of the generalized Sylvester matrix equations by using the hierarchical identification principle,320,2008,2020-10-15
Halim Yanikomeroglu,The new frontier in RAN heterogeneity: Multi-tier drone-cells,314,2016,2020-10-15
Halim Yanikomeroglu,Relayer selection strategies in cellular networks with peer-to-peer relaying,308,2003,2020-10-15
Murray Woodside,Evaluating the scalability of distributed systems,299,2000,2020-10-15
Andy Adler,"Chest electrical impedance tomography examination, data analysis, terminology, clinical use and recommendations: consensus statement of the TRanslational EIT developmeNt stuDy …",289,2017,2020-10-15
F. Richard Yu,Optimal joint session admission control in integrated WLAN and CDMA cellular networks with vertical handoff,285,2006,2020-10-15
F. Richard Yu,A survey of security challenges in cognitive radio networks: Solutions and future research directions,283,2012,2020-10-15
Halim Yanikomeroglu,Cooperative relaying in multi-antenna fixed relay networks,282,2007,2020-10-15
F. Richard Yu,Computation offloading and resource allocation in wireless cellular networks with mobile edge computing,281,2017,2020-10-15
Amir Banihashemi,On implementation of min-sum algorithm and its modifications for decoding low-density parity-check (LDPC) codes,276,2005,2020-10-15
Dorina Petriu,Sensor-based information appliances,276,2000,2020-10-15
Halim Yanikomeroglu,A new formula for the BER of binary modulations with dual-branch selection over generalized-K composite fading channels,275,2011,2020-10-15
Adrian D. C. Chan,Resolving the limb position effect in myoelectric pattern recognition,274,2011,2020-10-15
Andy Adler,Electrical impedance tomography: regularized imaging and contrast detection,274,1996,2020-10-15
Thomas Kunz,Operating systems for wireless sensor networks: A survey,272,2011,2020-10-15
Peter X. Liu,When the Smart Grid Meets Energy-Efficient Communications: Green Wireless Cellular Networks Powered by the Smart Grid,270,2012,2020-10-15
F. Richard Yu,When the smart grid meets energy-efficient communications: Green wireless cellular networks powered by the smart grid,270,2012,2020-10-15
Amir Banihashemi,A heuristic search for good low-density parity-check codes at short block lengths,266,2001,2020-10-15
Yvan Labiche,A UML-based approach to system testing,266,2001,2020-10-15
Ioannis Lambadaris,Modeling and simulation of self-similar variable bit rate compressed video: A unified approach,263,1995,2020-10-15
Changcheng Huang,Modeling and simulation of self-similar variable bit rate compressed video: a unified approach,263,1995,2020-10-15
Chung-Horng Lung,Smart home: Integrating internet of things with web services and cloud computing,263,2013,2020-10-15
Yvan Labiche,Impact analysis and change management of UML models,261,2003,2020-10-15
John Chinneck,Locating minimal infeasible constraint sets in linear programs,261,1991,2020-10-15
Thomas Kunz,Quality of service routing in ad-hoc networks using OLSR,257,2003,2020-10-15
Murray Woodside,Performance by unified model analysis (PUMA),256,2005,2020-10-15
Dorina Petriu,Performance by unified model analysis (PUMA),256,2005,2020-10-15
F. Richard Yu,Prediction-Based Topology Control and Routing in Cognitive Radio Mobile Ad Hoc Networks,251,2010,2020-10-15
Halim Yanikomeroglu,Range extension without capacity penalty in cellular networks with digital fixed relays,247,2004,2020-10-15
Peter X. Liu,Robust sliding mode control for robot manipulators,242,2011,2020-10-15
Gabriel Wainer,CD++: a toolkit to develop DEVS models,241,2002,2020-10-15
Amir Banihashemi,On Construction of Rate-Compatible Low-Density Parity-Check Codes,237,2004,2020-10-15
Andy Adler,A reevaluation of the validity of unrestrained plethysmography in mice,237,2002,2020-10-15
F. Richard Yu,Cross-layer design for TCP performance improvement in cognitive radio networks,236,2010,2020-10-15
Amir Banihashemi,Improved progressive-edge-growth (PEG) construction of irregular LDPC codes,234,2004,2020-10-15
Mohamed Ibnkahla,Applications of neural networks to digital communications–a survey,234,2000,2020-10-15
F. Richard Yu,When big data meets software-defined networking: SDN for big data and big data for SDN,233,2016,2020-10-15
Shikharesh Majumdar,Scheduling in multiprogrammed parallel systems,231,1988,2020-10-15
F. Richard Yu,Dynamic resource allocation for heterogeneous services in cognitive radio networks with imperfect channel sensing,231,2011,2020-10-15
Peter X. Liu,Gradient based and least-squares based iterative identification methods for OE and OEMA systems,231,2010,2020-10-15
Marc St-Hilaire,Early detection of DDoS attacks against SDN controllers,230,2015,2020-10-15
Halim Yanikomeroglu,On the number and 3D placement of drone base stations in wireless cellular networks,229,2016,2020-10-15
Peter X. Liu,Partially coupled stochastic gradient identification methods for non-uniformly sampled systems,227,2010,2020-10-15
Dorina Petriu,Applying the UML performance profile: Graph grammar-based derivation of LQN models from UML specifications,224,2002,2020-10-15
Changcheng Huang,Building reliable MPLS networks using a path protection mechanism,221,2002,2020-10-15
Halim Yanikomeroglu,"Access strategies for spectrum sharing in fading environment: overlay, underlay, and mixed",221,2010,2020-10-15
John Chinneck,Feasibility and Infeasibility in Optimization: Algorithms and Computational Methods,220,2008,2020-10-15
Andy Adler,"The late, but not early, asthmatic response is dependent on IL-5 and correlates with eosinophil infiltration",218,1999,2020-10-15
Peter X. Liu,Parameter estimation with scarce measurements,217,2011,2020-10-15
Murray Woodside,Enhanced modeling and solution of layered queueing networks,216,2008,2020-10-15
Halim Yanikomeroglu,An overview of radio resource management in relay-enhanced OFDMA-based networks,214,2010,2020-10-15
Peter X. Liu,Auxiliary model based multi-innovation extended stochastic gradient parameter estimation with colored measurement noises,212,2009,2020-10-15
F. Richard Yu,Information-centric network function virtualization over 5G mobile wireless networks,211,2015,2020-10-15
Mohamed Ibnkahla,High-speed satellite mobile communications: technologies and challenges,211,2004,2020-10-15
F. Richard Yu,Communication systems for grid integration of renewable energy resources,210,2011,2020-10-15
Peter X. Liu,Multiinnovation least-squares identification for system modeling,209,2010,2020-10-15
Ian Marsland,Threshold selection for SNR-based selective digital relaying in cooperative wireless networks,209,2008,2020-10-15
Halim Yanikomeroglu,Threshold selection for SNR-based selective digital relaying in cooperative wireless networks,209,2008,2020-10-15
Peter X. Liu,Impact of communication delays on secondary frequency control in an islanded microgrid,207,2015,2020-10-15
F. Richard Yu,A FCM-Based peer grouping scheme for node failure recovery in wireless P2P file sharing,206,2009,2020-10-15
Yvan Labiche,The impact of UML documentation on software maintenance: An experimental evaluation,205,2006,2020-10-15
F. Richard Yu,Distributed denial of service attacks in software-defined networking with cloud computing,203,2015,2020-10-15
Andy Adler,Unrestrained plethysmography is an unreliable measure of airway responsiveness in BALB/c and C57BL/6 mice,203,2004,2020-10-15
Changcheng Huang,Framework for MPLS-based Recovery draft-ietf-mpls-recovery-frmwrk-04. txt,200,2002,2020-10-15
Halim Yanikomeroglu,FSO-based vertical backhaul/fronthaul framework for 5G+ wireless networks,199,2018,2020-10-15
Halim Yanikomeroglu,On the approximation of the generalized-Κ distribution by a gamma distribution for modeling composite fading channels,198,2010,2020-10-15
Murray Woodside,Performance modeling from software components,197,2004,2020-10-15
Ashraf Matrawy,Smart wireless sensor network management based on software-defined networking,196,2014,2020-10-15
Andy Adler,Vulnerabilities in biometric encryption systems,195,2005,2020-10-15
Halim Yanikomeroglu,3-D placement of an unmanned aerial vehicle base station for maximum coverage of users with different QoS requirements,191,2017,2020-10-15
Sreeraman Rajan,Method and apparatus for adaptive line enhancement in Coriolis mass flow meter measurement,190,1996,2020-10-15
Peter X. Liu,Delay-dependent stability criteria of teleoperation systems with asymmetric time-varying delays,186,2010,2020-10-15
Halim Yanikomeroglu,Coverage enhancement through two-hop relaying in cellular radio systems,186,2002,2020-10-15
Andy Adler,Monitoring changes in lung air and liquid volumes with electrical impedance tomography,186,1997,2020-10-15
Chung-Horng Lung,Using hierarchical agglomerative clustering in wireless sensor networks: An energy-efficient and flexible approach,184,2010,2020-10-15
F. Richard Yu,Adaptive power allocation schemes for spectrum sharing in interference-alignment-based cognitive radio networks,183,2015,2020-10-15
Dorina Petriu,A dependability profile within MARTE,181,2011,2020-10-15
F. Richard Yu,Opportunistic communications in interference alignment networks with wireless power transfer,181,2015,2020-10-15
Rafik Goubran,Speech quality prediction in VoIP using the extended E-model,179,2003,2020-10-15
F. Richard Yu,Joint computation offloading and interference management in wireless cellular networks with mobile edge computing,176,2017,2020-10-15
F. Richard Yu,"Industrial internet: A survey on the enabling technologies, applications, and challenges",175,2017,2020-10-15
Peter X. Liu,Hierarchical Least Squares Identification for Linear SISO Systems with Dual-Rate Sampled-Data,174,2011,2020-10-15
F. Richard Yu,Distributed optimal relay selection in wireless cooperative networks with finite-state Markov channels,174,2010,2020-10-15
Yvan Labiche,A systematic review of transformation approaches between user requirements and analysis models,171,2011,2020-10-15
Rafik Goubran,Integration of smart home technologies in a health monitoring system for the elderly,171,2007,2020-10-15
Andy Adler,In Vivo Impedance Imaging With Total Variation Regularization,169,2009,2020-10-15
F. Richard Yu,Software-defined networks with mobile edge computing and caching for smart cities: A big data deep reinforcement learning approach,168,2017,2020-10-15
F. Richard Yu,Caching UAV assisted secure transmission in hyper-dense networks based on interference alignment,166,2018,2020-10-15
Andy Adler,"Whither lung EIT: where are we, where do we want to go and what do we need to get there?",165,2012,2020-10-15
Murray Woodside,Performance model estimation and tracking using optimal filters,165,2008,2020-10-15
F. Richard Yu,Security enhancements for mobile ad hoc networks with trust management using uncertain reasoning,165,2014,2020-10-15
Halim Yanikomeroglu,Fixed and mobile relaying technologies for cellular networks,164,2002,2020-10-15
Andy Adler,Four-dimensional electrical capacitance tomography imaging using experimental data,164,2009,2020-10-15
Peter X. Liu,Robust control of four-rotor unmanned aerial vehicle with disturbance uncertainty,162,2015,2020-10-15
Peter X. Liu,Parameter identification and intersample output estimation for dual-rate systems,162,2008,2020-10-15
Halim Yanikomeroglu,Backhaul-aware robust 3D drone placement in 5G+ wireless networks,162,2017,2020-10-15
Marc St-Hilaire,Optimal model for the controller placement problem in software defined networks,161,2014,2020-10-15
F. Richard Yu,Biologically inspired consensus-based spectrum sensing in mobile ad hoc networks with cognitive radios,160,2010,2020-10-15
Andy Adler,Sample images can be independently restored from face recognition templates,160,2003,2020-10-15
Babak Esfandiari,On how agents make friends: Mechanisms for trust acquisition,159,2001,2020-10-15
F. Richard Yu,Big data analytics in intelligent transportation systems: A survey,159,2018,2020-10-15
F. Richard Yu,Defense against spectrum sensing data falsification attacks in mobile ad hoc networks with cognitive radios,158,2009,2020-10-15
Yvan Labiche,An investigation of graph-based class integration test order strategies,157,2003,2020-10-15
F. Richard Yu,Computing resource allocation in three-tier IoT fog networks: A joint optimization approach combining Stackelberg game and matching,157,2017,2020-10-15
F. Richard Yu,Cross-layer handoff design in MIMO-enabled WLANs for communication-based train control (CBTC) systems,156,2012,2020-10-15
Yvan Labiche,Automating regression test selection based on UML designs,155,2009,2020-10-15
Yvan Labiche,An experimental investigation of formality in UML-based development,154,2005,2020-10-15
Mohamed Ibnkahla,Cognition in wireless sensor networks: A perspective,153,2010,2020-10-15
F. Richard Yu,A survey of green information-centric networking: Research issues and challenges,153,2015,2020-10-15
Shikharesh Majumdar,A toolset for performance engineering and software design of client-server systems,152,1995,2020-10-15
Murray Woodside,A toolset for performance engineering and software design of client-server systems,152,1995,2020-10-15
Dorina Petriu,A toolset for performance engineering and software design of client-server systems,152,1995,2020-10-15
Yvan Labiche,Automating impact analysis and regression test selection based on UML designs,152,2002,2020-10-15
Mohamed Ibnkahla,Signal processing for mobile communications handbook,151,2004,2020-10-15
Halim Yanikomeroglu,Interference avoidance with dynamic inter-cell coordination for downlink LTE system,151,2009,2020-10-15
F. Richard Yu,UAV trajectory optimization for data offloading at the edge of multiple cells,151,2018,2020-10-15
Andy Adler,Internet of Things: Remote patient monitoring using web services and cloud computing,151,2014,2020-10-15
F. Richard Yu,Big data analytics in mobile cellular networks,151,2016,2020-10-15
Chung-Horng Lung,Internet of Things: Remote patient monitoring using web services and cloud computing,151,2014,2020-10-15
Gabriel Wainer,Application of the Cell-DEVS paradigm for cell spaces modelling and simulation,150,2001,2020-10-15
Samuel A Ajila,Empirical study of the effects of open source adoption on software development economics,149,2007,2020-10-15
Adrian D. C. Chan,Myoelectric control development toolbox,149,2007,2020-10-15
Halim Yanikomeroglu,On the feasibility of wireless shadowing correlation models,148,2010,2020-10-15
Yvan Labiche,Automated impact analysis of UML models,147,2006,2020-10-15
Yvan Labiche,Assessing and improving state-based class testing: A series of experiments,147,2004,2020-10-15
Peter X. Liu,Backstepping control for nonlinear systems with time delays and applications to chemical reactor systems,145,2009,2020-10-15
Amir Banihashemi,Iterative layered space-time receivers for single-carrier transmission over severe time-dispersive channels,145,2004,2020-10-15
Amir Banihashemi,Iterative layered space-time receivers for single-carrier transmission over severe time-dispersive channels,145,2004,2020-10-15
F. Richard Yu,Cross-layer optimal connection admission control for variable bit rate multimedia traffic in packet wireless CDMA networks,144,2006,2020-10-15
Andy Adler,Impedance imaging of lung ventilation: do we need to account for chest expansion?,144,1996,2020-10-15
Halim Yanikomeroglu,Fairness-aware radio resource management in downlink OFDMA cellular relay networks,144,2010,2020-10-15
F. Richard Yu,Deep-reinforcement-learning-based optimization for cache-enabled opportunistic interference alignment wireless networks,143,2017,2020-10-15
F. Richard Yu,"Interference alignment and its applications: A survey, research issues, and challenges",142,2016,2020-10-15
Chung-Horng Lung,A force-reflection algorithm for improved transparency in bilateral teleoperation with communication delay,141,2007,2020-10-15
Peter X. Liu,A force-reflection algorithm for improved transparency in bilateral teleoperation with communication delay,141,2007,2020-10-15
Andy Adler,Intra-and inter-operator repeatability of myocardial blood flow and myocardial flow reserve measurements using rubidium-82 pet and a highly automated analysis program,139,2010,2020-10-15
Halim Yanikomeroglu,Opportunities and challenges in OFDMA-based cellular relay networks: A radio resource management perspective,138,2010,2020-10-15
Shikharesh Majumdar,A synthetic workload generation technique for stress testing session-based systems,137,2006,2020-10-15
Rafik Goubran,Building an application framework for speech and pen input integration in multimodal learning interfaces,136,1996,2020-10-15
Rafik Goubran,Packet loss compensation method using injection of spectrally shaped noise,135,2006,2020-10-15
Yvan Labiche,A systematic review of state-based test tools,134,2015,2020-10-15
F. Richard Yu,Wireless virtualization for next generation mobile cellular networks,134,2015,2020-10-15
Yvan Labiche,Stress testing real-time systems with genetic algorithms,134,2005,2020-10-15
Richard Dansereau,Single-channel speech separation using soft mask filtering,133,2007,2020-10-15
Mohamed Ibnkahla,Multiband spectrum access: Great promises for future cognitive radio networks,132,2014,2020-10-15
Murray Woodside,An intermediate metamodel with scenarios and resources for generating performance models from UML designs,131,2007,2020-10-15
Halim Yanikomeroglu,Performance of selection relaying and cooperative diversity,131,2009,2020-10-15
F. Richard Yu,A survey of machine learning techniques applied to software defined networking (SDN): Research issues and challenges,130,2018,2020-10-15
Adrian D. C. Chan,Examining the adverse effects of limb position on pattern recognition based myoelectric control,128,2010,2020-10-15
Murray Woodside,Performance model driven QoS guarantees and optimization in clouds,127,2009,2020-10-15
John Chinneck,Performance model driven QoS guarantees and optimization in clouds,127,2009,2020-10-15
Yvan Labiche,Solving the class responsibility assignment problem in object-oriented analysis with multi-objective genetic algorithms,126,2010,2020-10-15
Ioannis Lambadaris,MPEG4 traffic modeling using the transform expand sample methodology,125,2002,2020-10-15
Changcheng Huang,MPEG4 traffic modeling using the transform expand sample methodology,125,2002,2020-10-15
Yvan Labiche,Using simulation to empirically investigate test coverage criteria based on statechart,125,2004,2020-10-15
Murray Woodside,Software performance models from system scenarios in use case maps,125,2002,2020-10-15
Ashraf Matrawy,MPEG4 traffic modeling using the transform expand sample methodology,125,2002,2020-10-15
F. Richard Yu,Physical layer security issues in interference-alignment-based wireless networks,125,2016,2020-10-15
F. Richard Yu,UAV-assisted emergency networks in disasters,122,2019,2020-10-15
Amir Banihashemi,Efficient algorithm for finding dominant trapping sets of LDPC codes,122,2012,2020-10-15
Chung-Horng Lung,On the model-based approach to nonlinear networked control systems,121,2008,2020-10-15
Yvan Labiche,Facilitating the transition from use case models to analysis models: Approach and experiments,121,2013,2020-10-15
Peter X. Liu,On the model-based approach to nonlinear networked control systems,121,2008,2020-10-15
Rafik Goubran,A generalized proportionate variable step-size algorithm for fast changing acoustic environments,120,2004,2020-10-15
Dorina Petriu,Architecture-based performance analysis applied to a telecommunication system,120,2000,2020-10-15
F. Richard Yu,User scheduling and resource allocation in HetNets with hybrid energy supply: An actor-critic reinforcement learning approach,120,2017,2020-10-15
John Chinneck,A general examination scheduling system,118,1994,2020-10-15
Peter X. Liu,Observer-based fuzzy adaptive output-feedback control of stochastic nonlinear multiple time-delay systems,118,2017,2020-10-15
Yvan Labiche,Using genetic algorithms and coupling measures to devise optimal integration test orders,117,2002,2020-10-15
Shikharesh Majumdar,Software bottlenecking in client-server systems and rendezvous networks,117,1995,2020-10-15
Dorina Petriu,Software bottlenecking in client-server systems and rendezvous networks,117,1995,2020-10-15
F. Richard Yu,Interference-aware energy-efficient resource allocation for OFDMA-based heterogeneous networks with incomplete channel state information,116,2014,2020-10-15
Halim Yanikomeroglu,Interference-aware energy-efficient resource allocation for OFDMA-based heterogeneous networks with incomplete channel state information,116,2014,2020-10-15
Peter X. Liu,Robust fuzzy adaptive tracking control for nonaffine stochastic nonlinear switching systems,116,2018,2020-10-15
Peter X. Liu,Denial-of-Service (DoS) attacks on load frequency control in smart grids,116,2013,2020-10-15
Dorina Petriu,XSLT transformation from UML models to LQN performance models,116,2002,2020-10-15
Gabriel Wainer,CD++: a toolkit to define discrete-event models,116,2002,2020-10-15
Gabriel Wainer,Discrete-event modeling and simulation: theory and applications,115,2016,2020-10-15
Amir Banihashemi,Improving belief propagation on graphs with cycles,115,2004,2020-10-15
F. Richard Yu,A game-theoretical scheme in the smart grid with demand-side management: Towards a smart cyber-physical power infrastructure,114,2013,2020-10-15
Amir Banihashemi,Decoding low-density parity-check codes with probabilistic schedule,114,2001,2020-10-15
Babak Esfandiari,A Case-Based Reasoning Approach to Imitating RoboCup Players.,114,2008,2020-10-15
Mohamed Ibnkahla,Efficient deployment of wireless sensor networks targeting environment monitoring applications,113,2013,2020-10-15
Ramy H. Gohary,Noncoherent MIMO communication: Grassmannian constellations and efficient detection,112,2009,2020-10-15
F. Richard Yu,Wireless energy harvesting in interference alignment networks,111,2015,2020-10-15
Chung-Horng Lung,Optimal combined intrusion detection and biometric-based continuous authentication in high security mobile ad hoc networks,111,2009,2020-10-15
F. Richard Yu,Optimal combined intrusion detection and biometric-based continuous authentication in high security mobile ad hoc networks,111,2009,2020-10-15
Mohamed Ibnkahla,"Neural network modeling and identification of nonlinear channels with memory: algorithms, applications, and analytic models",111,1998,2020-10-15
Andy Adler,A neural network image reconstruction technique for electrical impedance tomography,111,1994,2020-10-15
Halim Yanikomeroglu,HetHetNets: Heterogeneous traffic distribution in heterogeneous wireless cellular networks,111,2015,2020-10-15
Ioannis Lambadaris,Fractional Lévy motion and its application to network traffic modeling,110,2002,2020-10-15
Andy Adler,Objective selection of hyperparameter for EIT,110,2006,2020-10-15
Thomas Kunz,Performance evaluation of IoT protocols under a constrained wireless access network,110,2016,2020-10-15
Sreeraman Rajan,Direction of arrival estimation using directive antennas in uniform circular arrays,110,2014,2020-10-15
Peter X. Liu,Adaptive Fuzzy Decentralized Control for A Class of Strong Interconnected Nonlinear Systems with Unmodeled Dynamics,109,2018,2020-10-15
Gabriel Wainer,Timed Cell-DEVS: modeling and simulation of cell spaces,109,2001,2020-10-15
Halim Yanikomeroglu,Cell switch off technique combined with coordinated multi-point (CoMP) transmission for energy efficiency in beyond-LTE cellular networks,109,2012,2020-10-15
F. Richard Yu,Cell switch off technique combined with coordinated multi-point (CoMP) transmission for energy efficiency in beyond-LTE cellular networks,109,2012,2020-10-15
Amir Banihashemi,Low-density parity-check lattices: Construction and decoding analysis,109,2006,2020-10-15
F. Richard Yu,Distributed combined authentication and intrusion detection with data fusion in high-security mobile ad hoc networks,107,2011,2020-10-15
Peter X. Liu,Distributed Combined Authentication and Intrusion Detection With Data Fusion in High-Security Mobile Ad Hoc Networks,107,2011,2020-10-15
Amir Banihashemi,"A 0.18-$ muhbox m $ CMOS Analog Min-Sum Iterative Decoder for a (32, 8) Low-Density Parity-Check (LDPC) Code",107,2006,2020-10-15
Andy Adler,Interpreting Penh in mice,106,2003,2020-10-15
Halim Yanikomeroglu,Utility-based adaptive radio resource allocation in OFDM wireless networks with traffic prioritization,106,2009,2020-10-15
Andy Adler,Images can be regenerated from quantized biometric match score data,106,2004,2020-10-15
Peter X. Liu,Adaptive neural output-feedback control for a class of nonlower triangular nonlinear systems with unmodeled dynamics,106,2018,2020-10-15
Peter X. Liu,Adaptive intelligent control of nonaffine nonlinear time-delay systems with dynamic uncertainties,105,2017,2020-10-15
Thomas Kunz,MAODV implementation for NS-2.26,105,2004,2020-10-15
Shikharesh Majumdar,Performance analysis of distributed server systems,105,1996,2020-10-15
Dorina Petriu,Performance analysis of distributed server systems,105,1996,2020-10-15
Murray Woodside,Performance analysis of distributed server systems,105,1996,2020-10-15
F. Richard Yu,Optimal Transceiver Design for SWIPT in-User MIMO Interference Channels,105,2015,2020-10-15
Mohamed Ibnkahla,A survey of networking challenges and routing protocols in smart grids,104,2013,2020-10-15
Chung-Horng Lung,An approach to software architecture analysis for evolution and reusability,103,1997,2020-10-15
Andy Adler,Adjacent stimulation and measurement patterns considered harmful,102,2011,2020-10-15
F. Richard Yu,Green communications and networking,102,2012,2020-10-15
Changcheng Huang,A novel fault detection and localization scheme for mesh all-optical networks based on monitoring-cycles,102,2006,2020-10-15
Peter X. Liu,An embedded fuzzy controller for a behavior-based mobile robot with guaranteed performance,102,2004,2020-10-15
Amir Banihashemi,Decoding low-density parity-check codes with probabilistic schedule,101,2001,2020-10-15
Yuu Ono,Development of the line-focus-beam ultrasonic material characterization system,100,2002,2020-10-15
Yvan Labiche,Using machine learning to support debugging with tarantula,100,2007,2020-10-15
Chung-Horng Lung,"Applications of clustering techniques to software partitioning, recovery and restructuring",100,2004,2020-10-15
F. Richard Yu,"Integrated blockchain and edge computing systems: A survey, some research issues and challenges",99,2019,2020-10-15
Andy Adler,Imaging of conductivity changes and electrode movement in EIT,99,2006,2020-10-15
Sreeraman Rajan,"Oscillometric blood pressure estimation: past, present, and future",99,2015,2020-10-15
Halim Yanikomeroglu,A theoretical characterization of the multihop wireless communications channel with diversity,99,2001,2020-10-15
Adrian D. C. Chan,Continuous multifunction myoelectric control using pattern recognition,99,2003,2020-10-15
Rafik Goubran,Privacy versus autonomy: a tradeoff model for smart home monitoring technologies,98,2011,2020-10-15
Sreeraman Rajan,On the cyclostationarity of OFDM and single carrier linearly digitally modulated signals in time dispersive channels: Theoretical developments and application,98,2010,2020-10-15
Peter X. Liu,Visual gesture recognition for human-machine interface of robot teleoperation,98,2003,2020-10-15
Dorina Petriu,Dependability modeling and analysis of software systems specified with UML,98,2012,2020-10-15
F. Richard Yu,A mean field game theoretic approach for security enhancements in mobile ad hoc networks,97,2014,2020-10-15
F. Richard Yu,Green cognitive mobile networks with small cells for multimedia communications in the smart grid environment,97,2014,2020-10-15
F. Richard Yu,Fog vehicular computing: Augmentation of fog computing using vehicular cloud computing,97,2017,2020-10-15
Thomas Kunz,A mutual network synchronization method for wireless ad hoc and sensor networks,97,2008,2020-10-15
Leila Mostaço-Guidolin,Collagen morphology and texture analysis: from statistics to classification,97,2013,2020-10-15
Andy Adler,Validation of the Empatica E4 wristband,96,2016,2020-10-15
Halim Yanikomeroglu,Airborne communication networks: A survey,94,2018,2020-10-15
John Chinneck,Fast heuristics for the maximum feasible subsystem problem,94,2001,2020-10-15
Murray Woodside,A business driven cloud optimization architecture,94,2010,2020-10-15
Rafik Goubran,Limitations of handsfree acoustic echo cancellers due to nonlinear loudspeaker distortion and enclosure vibration effects,94,1995,2020-10-15
Ioannis Lambadaris,Empirical study of buffer management scheme for DiffServ Assured Forwarding PHB,94,2000,2020-10-15
Yvan Labiche,Control flow analysis of UML 2.0 sequence diagrams,93,2005,2020-10-15
Adrian D. C. Chan,Hidden Markov model classification of myoelectric signals in speech,93,2002,2020-10-15
F. Richard Yu,A survey of blockchain technology applied to smart cities: Research issues and challenges,93,2019,2020-10-15
Mostafa Taha,Differential fault intensity analysis,92,2014,2020-10-15
James R Green,A review of network-based approaches to drug repositioning,92,2018,2020-10-15
Yvan Labiche,A measurement framework for object-oriented software testability,92,2005,2020-10-15
Mohamed Ibnkahla,Single-strand scissions induced in circular and linear λ DNA by the presence of dithiothreitol and other reducing agents,91,1967,2020-10-15
Dorina Petriu,Annotating UML models with non-functional properties for quantitative analysis,91,2005,2020-10-15
Murray Woodside,Annotating UML models with non-functional properties for quantitative analysis,91,2005,2020-10-15
Sreeraman Rajan,Efficient approximations for the arctangent function,91,2006,2020-10-15
Babak Esfandiari,Management applications of the web service offerings language (WSOL),91,2005,2020-10-15
